"Variables" "fillvalues"
"Flying_Seabirds2_ResN" 63686.6137947609
"Flying_Seabirds3_ResN" 63686.6137947609
"Flying_Seabirds4_ResN" 63686.6137947609
"Flying_Seabirds5_ResN" 63686.6137947609
"Flying_Seabirds6_ResN" 63686.6137947609
"Flying_Seabirds7_ResN" 63686.6137947609
"Flying_Seabirds8_ResN" 63686.6137947609
"Flying_Seabirds9_ResN" 63686.6137947609
"Flying_Seabirds10_ResN" 63686.6137947609
"Flying_Seabirds11_ResN" 63686.6137947609
"Flying_Seabirds12_ResN" 63686.6137947609
"Flying_Seabirds13_ResN" 63686.6137947609
"Flying_Seabirds14_ResN" 63686.6137947609
"Flying_Seabirds15_ResN" 63686.6137947609
"Flying_Seabirds16_ResN" 63686.6137947609
"Flying_Seabirds17_ResN" 63686.6137947609
"Flying_Seabirds18_ResN" 63686.6137947609
"Flying_Seabirds19_ResN" 63686.6137947609
"Flying_Seabirds20_ResN" 63686.6137947609
"Minke_Whales_N" 0
"Minke_Whales_F" 0.001
"Minke_Whales1_Nums" 0
"Minke_Whales2_Nums" 0
"Minke_Whales3_Nums" 0
"Minke_Whales4_Nums" 0
"Minke_Whales5_Nums" 0
"Minke_Whales6_Nums" 0
"Minke_Whales7_Nums" 0
"Minke_Whales8_Nums" 0
"Minke_Whales9_Nums" 0
"Minke_Whales10_Nums" 0
"Minke_Whales11_Nums" 0
"Minke_Whales12_Nums" 0
"Minke_Whales13_Nums" 0
"Minke_Whales14_Nums" 0
"Minke_Whales15_Nums" 0
"Minke_Whales1_StructN" 3200025.74779791
"Minke_Whales2_StructN" 6899997.93992425
"Minke_Whales3_StructN" 10274606.7699151
"Minke_Whales4_StructN" 12873770.2286356
"Minke_Whales5_StructN" 14711666.3235274
"Minke_Whales6_StructN" 15951093.7054769
"Minke_Whales7_StructN" 16764139.7537939
"Minke_Whales8_StructN" 17288706.8838206
"Minke_Whales9_StructN" 17623736.8890924
"Minke_Whales10_StructN" 17836378.3169394
"Minke_Whales11_StructN" 17970816.5541209
"Minke_Whales12_StructN" 18055606.3895347
"Minke_Whales13_StructN" 18109001.9985039
"Minke_Whales14_StructN" 18142595.4250222
"Minke_Whales15_StructN" 18163717.8647736
"Minke_Whales1_ResN" 8480068.23166446
"Minke_Whales2_ResN" 18284994.5407993
"Minke_Whales3_ResN" 27227707.940275
"Minke_Whales4_ResN" 34115491.1058843
"Minke_Whales5_ResN" 38985915.7573477
"Minke_Whales6_ResN" 42270398.3195138
"Minke_Whales7_ResN" 44424970.3475538
"Minke_Whales8_ResN" 45815073.2421245
"Minke_Whales9_ResN" 46702902.7560948
"Minke_Whales10_ResN" 47266402.5398894
"Minke_Whales11_ResN" 47622663.8684204
"Minke_Whales12_ResN" 47847356.932267
"Minke_Whales13_ResN" 47988855.2960353
"Minke_Whales14_ResN" 48077877.8763089
"Minke_Whales15_ResN" 48133852.3416501
"Other_Baleen_Whales_N" 0
"Other_Baleen_Whales_F" 0.001
"Other_Baleen_Whales1_Nums" 0
"Other_Baleen_Whales2_Nums" 0
"Other_Baleen_Whales3_Nums" 0
"Other_Baleen_Whales4_Nums" 0
"Other_Baleen_Whales5_Nums" 0
"Other_Baleen_Whales6_Nums" 0
"Other_Baleen_Whales7_Nums" 0
"Other_Baleen_Whales8_Nums" 0
"Other_Baleen_Whales9_Nums" 0
"Other_Baleen_Whales10_Nums" 0
"Other_Baleen_Whales11_Nums" 0
"Other_Baleen_Whales12_Nums" 0
"Other_Baleen_Whales13_Nums" 0
"Other_Baleen_Whales14_Nums" 0
"Other_Baleen_Whales15_Nums" 0
"Other_Baleen_Whales16_Nums" 0
"Other_Baleen_Whales17_Nums" 0
"Other_Baleen_Whales18_Nums" 0
"Other_Baleen_Whales19_Nums" 0
"Other_Baleen_Whales20_Nums" 0
"Other_Baleen_Whales1_StructN" 63556400.4677017
"Other_Baleen_Whales2_StructN" 83792942.5702847
"Other_Baleen_Whales3_StructN" 102824550.669066
"Other_Baleen_Whales4_StructN" 119932080.752284
"Other_Baleen_Whales5_StructN" 134818702.677026
